Original,Traduzido
Bladder pain,Dor da bexiga
Bladder spasm,Espasmo da bexiga
Bladder stenosis,Estenose da bexiga
Blanching,Branqueado
Blanching of skin,Branqueamento da pele
Blast cell crisis,Crise de células de explosão
Blastomycosis,Blastomicose
Bleeding breakthrough,Avanço de sangramento
Bleeding tendency,Tendência de sangramento
Bleeding time prolonged,Tempo de sangramento prolongado
Blepharal pigmentation,Pigmentação Blefaral
Blepharitis,Blefarite
Blepharitis allergic,Alérgico a blefarite
Blepharoconjunctivitis,Blefaroconjuntivite
Blepharospasm,Blefarospasmo
Blighted ovum,Óvulo arruinado
Blindness,Cegueira
Blindness cortical,Cortical cortical
Blindness day,Dia da cegueira
Blindness transient,Cegueira transitória
Blindness unilateral,Cegueira unilateral
"Blindness, both eyes","Cegueira, ambos os olhos"
Blister,Bolha
Bloated feeling,Sentimento inchado
Block heart,Block Heart
Blood acid phosphatase increased,Fosfatase de ácido sanguíneo aumentou
Blood albumin decreased,A albumina de sangue diminuiu
Blood albumin increased,A albumina de sangue aumentou
Blood alkaline phosphatase increased,Fosfatase alcalina no sangue aumentou
Blood amylase increased,A amilase de sangue aumentou
Blood and lymphatic system disorders,Distúrbios do sistema de sangue e linfático
Blood antidiuretic hormone abnormal,Hormônio antidiurético do sangue
Blood bicarbonate,Bicarbonato de sangue
Blood bicarbonate decreased,O bicarbonato de sangue diminuiu
Blood bicarbonate increased,O bicarbonato de sangue aumentou
Blood bilirubin abnormal,Sangue bilirrubina anormal
Blood bilirubin decreased,A bilirrubina do sangue diminuiu
Blood bilirubin increased,A bilirrubina do sangue aumentou
Blood bilirubin normal,Normal da bilirrubina do sangue
Blood bilirubin unconjugated increased,O sangue bilirrubina não conjugado aumentou
Blood calcium abnormal,Blood Cálcio anormal
Blood calcium decreased,O cálcio no sangue diminuiu
Blood chloride decreased,O cloreto de sangue diminuiu
Blood chloride increased,O cloreto de sangue aumentou
Blood cholesterol abnormal,Colesterol de sangue anormal
Blood cholesterol decreased,O colesterol no sangue diminuiu
Blood cholesterol increased,O colesterol no sangue aumentou
Blood copper decreased,O cobre do sangue diminuiu
Blood cortisol decreased,O cortisol no sangue diminuiu
Blood cortisol increased,O cortisol no sangue aumentou
Blood count abnormal,Contagem sanguínea anormal
Blood creatine increased,A creatina do sangue aumentou
Blood creatine phosphokinase MB increased,Creatina de sangue fosfocinase MB aumentou
Blood creatine phosphokinase MM increased,Creatina do sangue A fosfocinase MM aumentou
Blood creatine phosphokinase abnormal,Creatina fosfocinase de sangue anormal
Blood creatine phosphokinase increased,A creatina fosfocinase de sangue aumentou
Blood creatinine abnormal,Creatinina de sangue anormal
Blood creatinine decreased,A creatinina de sangue diminuiu
Blood creatinine increased,A creatinina de sangue aumentou
Blood creatinine normal,Creatinina de sangue normal
Blood culture positive,Cultura de sangue positiva
Blood disorder,Transtorno do sangue
Blood electrolytes abnormal,Eletrólitos sanguíneos anormais
Blood electrolytes decreased,Os eletrólitos sanguíneos diminuíram
Blood fibrinogen decreased,O fibrinogênio no sangue diminuiu
Blood fibrinogen increased,Fibrinogênio no sangue aumentou
Blood follicle stimulating hormone increased,Hormônio estimulante do folículo sanguíneo aumentou
Blood gases abnormal,Gases sanguíneos anormais
Blood gastrin increased,A gastrina do sangue aumentou
Blood glucose abnormal,Blood Glicose anormal
Blood glucose decreased,A glicose no sangue diminuiu
Blood glucose fluctuation,Flutuação de glicose no sangue
Blood glucose increased,A glicose no sangue aumentou
Blood gonadotrophin decreased,A gonadotrofina sanguínea diminuiu
Blood gonadotrophin increased,A gonadotrofina no sangue aumentou
Blood growth hormone increased,Hormônio do crescimento do sangue aumentado
Blood immunoglobulin G decreased,A imunoglobulina do sangue diminuiu
Blood in stool,Sangue em fezes
Blood insulin decreased,A insulina no sangue diminuiu
Blood insulin increased,A insulina sanguínea aumentou
Blood iron abnormal,Ferro de sangue anormal
Blood iron decreased,O ferro do sangue diminuiu
Blood iron increased,O ferro do sangue aumentou
Blood lactate dehydrogenase increased,Lactato de sangue desidrogenase aumentou
Blood luteinising hormone increased,Hormônio luteinizante de sangue aumentou
Blood magnesium decreased,O magnésio do sangue diminuiu
Blood magnesium increased,O magnésio do sangue aumentou
Blood methaemoglobin present,Blood metaemoglobina presente
Blood monocytes increased,Os monócitos sanguíneos aumentaram
Blood neutrophil count decreased,A contagem de neutrófilos sanguíneos diminuiu
Blood oestrogen decreased,O estrogênio no sangue diminuiu
Blood oestrogen increased,O estrogênio no sangue aumentou
Blood osmolarity decreased,A osmolaridade do sangue diminuiu
Blood osmolarity increased,A osmolaridade do sangue aumentou
Blood pH decreased,O pH do sangue diminuiu
Blood pancreatic amylase increased,A amilase pancreática do sangue aumentou
Blood parathyroid hormone increased,Hormônio da paratireóide do sangue aumentou
Blood phosphate increased,O fosfato sanguíneo aumentou
Blood phosphorus decreased,O fósforo sanguíneo diminuiu
Blood phosphorus increased,O fósforo sanguíneo aumentou
Blood potassium abnormal,Blood Potassium anormal
Blood potassium decreased,O potássio do sangue diminuiu
Blood potassium increased,O potássio do sangue aumentou
Blood pressure abnormal,Pressão arterial anormal
Blood pressure diastolic decreased,A pressão arterial diastólica diminuiu
Blood pressure diastolic increased,A pressão arterial diastólica aumentou
Blood pressure fluctuation,Flutuação da pressão arterial
Blood pressure inadequately controlled,Pressão arterial inadequadamente controlada
Blood pressure increased,A pressão arterial aumentou
Blood pressure normal,Pressão arterial normal
Blood pressure systolic decreased,A pressão arterial sistólica diminuiu
Blood pressure systolic increased,A pressão arterial aumentou
Blood prolactin decreased,A prolactina no sangue diminuiu
Blood prolactin increased,A prolactina no sangue aumentou
Blood sodium abnormal,Blood Sodium anormal
Blood sodium increased,O sódio no sangue aumentou
Blood test abnormal,Exames de sangue anormais
Blood testosterone decreased,A testosterona no sangue diminuiu
Blood testosterone free increased,Blood Testosterona Livre aumentou
Blood testosterone increased,A testosterona no sangue aumentou
Blood thromboplastin decreased,A tromboplastina sanguínea diminuiu
Blood thyroid stimulating hormone decreased,Blood Hormônio estimulante da tireóide diminuiu
Blood thyroid stimulating hormone increased,Hormônio estimulante da tireóide do sangue aumentou
Blood triglycerides decreased,Os triglicerídeos sanguíneos diminuíram
Blood triglycerides increased,Os triglicerídeos sanguíneos aumentaram
Blood urea abnormal,Uréia no sangue anormal
Blood urea decreased,A uréia no sangue diminuiu
Blood urea increased,A uréia no sangue aumentou
Blood urea normal,Uréia no sangue normal
Blood uric acid abnormal,Ácido úrico no sangue anormal
Blood uric acid decreased,O ácido úrico no sangue diminuiu
Blood uric acid increased,Ácido úrico no sangue aumentou
Blood urine,Urina no sangue
Blood urine present,Urina no sangue presente
Blood zinc decreased,O zinco do sangue diminuiu
Bloodshot eye,Olho de sangue
Bloody discharge,Descarga sangrenta
Blotchy rash,Erupção cutânea manchada
Blue toe syndrome,Síndrome do dedo do pé azul
Blunted affect,Afeto embotado
Body fat disorder,Transtorno da gordura corporal
Body hair loss,Perda de cabelo corporal
Body height decreased,A altura do corpo diminuiu
Body mass index decreased,O índice de massa corporal diminuiu
Body odor,Odor corporal
Body temperature altered,Temperatura corporal alterada
Body temperature decreased,A temperatura corporal diminuiu
Body temperature fluctuation,Flutuação da temperatura corporal
Body temperature increased,A temperatura corporal aumentou
Body tinea,Tinea corporal
Bone and joint infections,Infecções ósseas e articulares
Bone cancer metastatic,Câncer ósseo metastático
Bone density decreased,A densidade óssea diminuiu
Bone development abnormal,Desenvolvimento ósseo anormal
Bone disorder,Transtorno ósseo
Bone lesion,Lesão óssea
Bone marrow aplastic,Aplástica da medula óssea
Bone marrow depression,Depressão da medula óssea
Bone marrow disorder,Transtorno da medula óssea
Bone marrow granuloma,Granuloma da medula óssea
Bone marrow toxicity,Toxicidade da medula óssea
Bone mass decreased,A massa óssea diminuiu
Bone metabolism disorder,Transtorno do metabolismo ósseo
Bone neoplasm,Neoplasia óssea
Bone pain,Dor óssea
Bone pain aggravated,Dor osso agravada
Bone sarcoma,Sarcoma ósseo
Bone spur,Espurso dos ossos
Bone tenderness,Ternura óssea
Borborygmi,Borborygmi
Bovine tuberculosis,Tuberculose bovina
Bowel sounds decreased,Os sons intestinais diminuíram
Bowel spasm,Espasmo intestinal
Bowen's disease,Doença de Bowen
Brachial plexus injury,Lesão do plexo braquial
Bradyarrhythmia,Bradyarrithythmia
Bradycardia,Bradicardia
Bradycardia foetal,Bradicardia fetal
Bradycardia-tachycardia syndrome,Síndrome de Bradicardia-Tachicardia
Bradykinesia,Bradykinesia
Bradyphrenia,Bradifrenia
Bradypsychic response,Resposta bradipsíquica
Brain abscess,Abscesso cerebral
Brain cancer metastatic,Câncer no cérebro metastático
Brain disorder NOS,Transtorno cerebral Nos
Brain herniation,Hérnia cerebral
Brain hypoxia,Hipóxia cerebral
Brain infarction,Infarto do cérebro
Brain injury,Lesão cerebral
Brain neoplasm,Neoplasia cerebral
Brain neoplasm benign,Neoplasia cerebral benigna
Brain oedema,Edema cerebral
Brain stem glioma,Glioma do tronco cerebral
Brain stem haemorrhage,Hemorragia do tronco cerebral
Brain stem syndrome,Síndrome do tronco cerebral
Breakthrough pain,Dor inovadora
Breast abscess,Abscesso da mama
Breast atrophy,Atrofia da mama
Breast calcifications,Calcificações da mama
Breast cancer,Câncer de mama
Breast cancer female,Câncer de mama fêmea
Breast cancer invasive NOS,NOS invasivo para câncer de mama
Breast cancer male,Câncer de mama Masculino
Breast cancer stage IV,Câncer de mama estágio IV
Breast cyst,Cisto da mama
Breast discharge,Descarga de mama
Breast discomfort,Desconforto da mama
Breast disorder,Transtorno da mama
Breast disorder female,Transtorno da mama fêmea
Breast engorgement,Ingurgitamento da mama
Breast enlargement,Aumento de mama
Breast enlargement female,Aumentação da mama
Breast feeding,Amamentação
Breast fibroma,Fibroma da mama
Breast fibrosis,Fibrose mamária
Breast induration,Induração da mama
Breast malformation,Malformação da mama
Breast mass,Massa de mama
Breast microcalcification,Microcalcificação da mama
Breast neoplasm,Neoplasia da mama
Breast neoplasm NOS male,Neoplasia mamária nos macho
Breast neoplasm benign female,Neoplasia da mama fêmea benigna
Breast oedema,Edema da mama
Breast pain,Dor no seio
Breast pain female,Dor de mama fêmea
Breast pain male,Dor de mama macho
Breast swelling,Inchaço da mama
Breast tenderness,Tensidão da mama
Breast tension,Tensão da mama
Breath holding,Respiração segurando
Breath holding attack,Ataque de retenção da respiração
Breath odour,Odor de respiração
Breath odour ketones,O odor de respiração cetonas
Breath sounds abnormal,A respiração soa anormal
Breech presentation,Apresentação da culatra
Bronchial disorder,Transtorno brônquico
Bronchial haemorrhage,Hemorragia brônquica
Bronchial hyperreactivity,Hiper -reatividade brônquica
Bronchial mucus plug,Plugue de muco brônquico
Bronchial obstruction,Obstrução brônquica
Bronchial secretion retention,Retenção de secreção brônquica
Bronchial ulceration,Ulceração brônquica
Bronchiectasis,Bronquiectasia
Bronchiolitis,Bronquiolite
Bronchiolitis obliterans with organizing pneumonia,Bronquiolite obliterans com organização de pneumonia
Bronchioloalveolar carcinoma,Carcinoma bronquioloalveolar
Bronchitis,Bronquite
Bronchitis bacterial,Bacteriana de bronquite
Bronchitis viral,Bronquite viral
Bronchoconstriction,Broncoconstrição
Bronchopneumonia,Broncopneumonia
Bronchopneumopathy,Broncopnemopatia
Bronchopulmonary aspergillosis,Aspergilose broncopulmonar
Bronchopulmonary dysplasia,Displasia broncopulmonar
Bronchospasm,Broncoespasmo
Bronchospasm aggravated,Broncoespasmo agravado
Bronchospasm paradoxical,Paradoxal broncoespasmo
Bronchostenosis,Broncostenose
Brown tumour,Tumor marrom
Brown urine,Urina marrom
Brugada syndrome,Síndrome de Brugada
Bruxism,Bruxismo
Buccal inflammation,Inflamação bucal
Buccal mucosa ulceration,Ulceração da mucosa bucal
Buccal mucosal roughening,Desperegenamento da mucosa bucal
Buccoglossal syndrome,Síndrome buccoglossal
Bucking,Bucking
Budd-Chiari syndrome,Síndrome de Budd-Chiari
Buffalo hump,Buffalo Hump
Bulimia,Bulimia
Bulimia nervosa,Bulimia nervosa
Bullous conditions,Condições bolhosas
Bullous eruption,Erupção bolhosa
Bullous impetigo,Impetigo bolhoso
Bullous keratopathy,Ceratopatia bolhosa
Bullous lichen planus,Planus de líquen bolhoso
Bundle branch block,Bloco de ramificação do pacote
Bundle branch block left,Bloqueio de ramo de pacote esquerdo
Bundle branch block right,Bloqueio de ramo de pacote à direita
Burkitt's lymphoma,Linfoma de Burkitt
Burn,Queimar
Burning anal,Anal queimando
Burning feeling vagina,Queimando sentimento de vagina
Burning foot,Pé que ardente
Burning in throat,Queimando na garganta
Burning mouth,Boca ardente
Burning mouth syndrome,Síndrome da boca em chamas
Burning rectal,Retal ardente
Burning sensation,Sensação de queimação
Burning sensation in eye,Sensação de queimação no olho
Burning tongue,Língua ardente
Burns second degree,Queima de segundo grau
Bursitis,Bursite
Buttock pain,Dor de nádega
C-reactive protein increased,A proteína C reativa aumentou
C1 esterase deficiency acquired,Deficiência de esterase C1 adquirida
CD4 lymphocytes decreased,Os linfócitos CD4 diminuíram
CNS depression NOS,CNS Depressão nos
CNS toxicity,Toxicidade do SNC
COPD exacerbation,DPOC Exacerbation
Ca++ increased,Ca ++ aumentou
Cachexia,Caquexia
Caecitis,Caecitis
Calcaneal spur,Spur calcanal
Calcification metastatic,Calcificação metastática
Calcinosis,Calcinose
Calciphylaxis,Calciphilaxia
Calcium abnormal NOS,Nº anormal de cálcio
Calcium deficiency,Deficiência de cálcio
Calcium intoxication,Intoxicação por cálcio
Calcium low,Cálcio baixo
Calcium metabolism disorder,Transtorno do metabolismo do cálcio
Calculus bladder,Bexiga de cálculo
Calculus of kidney,Cálculo de rim
Calculus ureteric,Cálculo ureterérico
Calculus urinary,Cálculo urinário
Call-Fleming syndrome,Síndrome de Fleming de Call
Cancer pain,Dor no câncer
Candida albicans infection,Infecção por Candida albicans
Candida cervicitis,Candida cervicite
Candida infection,Infecção por candida
Candida sepsis,Sepse de Candida
Candiduria,Candidúria
Cannula site reaction,Reação do local da cânula
Capillary fragility,Fragilidade capilar
Capillary fragility increased,A fragilidade capilar aumentou
Capillary leak syndrome,Síndrome de vazamento capilar
Carbohydrate craving,Desejo de carboidratos
Carbohydrate tolerance decreased,A tolerância a carboidratos diminuiu
Carbon dioxide decreased,O dióxido de carbono diminuiu
Carbon dioxide increased,O dióxido de carbono aumentou
Carbuncle,Carbúnculo
Carcinogenicity,Carcinogenicidade
Carcinoid tumour,Tumor carcinóide
Carcinoma,Carcinoma
Carcinoma breast,Mama de carcinoma
Carcinoma colon,Cólon de carcinoma
